Library,Commit,Parent Module,API,Advisory Link,Anomaly,Anomaly description,Category,Reproducing Example,Vulnerable Parameter,Root cause 1,Root cause 2
Pytorch,N.A,torch,torch._C._nn.fractional_max_pool3d,https://github.com/pytorch/pytorch/issues/73186,Zero integer list element,A zero integer list element in Python refers to an element within a list that has a value of zero. It is an integer value of zero (0) that is present as an item in a list.,List,"import torch

self = torch.full((2, 4, 5, 5, 5,), 1, dtype=torch.float64, requires_grad=False)
kernel_size = [0, 0, 0]
output_size = [0, 0, 0]
random_samples = torch.full((2, 4, 5, 5, 5,), 1, dtype=torch.float64, requires_grad=False)
torch._C._nn.fractional_max_pool3d(self, kernel_size, output_size, random_samples)",output_size,N.A,segfault
Pytorch,N.A,torch,torch._C._nn.fractional_max_pool2d,https://github.com/pytorch/pytorch/issues/73185,Zero integer list element,A zero integer list element in Python refers to an element within a list that has a value of zero. It is an integer value of zero (0) that is present as an item in a list.,List,"import torch

self = torch.full((1, 3, 7, 6,), 1, dtype=torch.float64, requires_grad=False)
kernel_size = [0, 0]
output_size = [0, 0]
random_samples = torch.full((1, 3, 7, 6,), 1, dtype=torch.float64, requires_grad=False)
torch._C._nn.fractional_max_pool2d(self, kernel_size, output_size, random_samples)",output_size,N.A,segfault
Pytorch,N.A,torch,torch._sobol_engine_scramble_,https://github.com/pytorch/pytorch/issues/73182,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch

self = torch.full((100, 30,), 1, dtype=torch.int64, requires_grad=False)
ltm = torch.full((100, 30, 30,), 1, dtype=torch.int64, requires_grad=False)
dimension = 1250999896764
torch._sobol_engine_scramble_(self, ltm, dimension)",dimension,N.A,segfault
Pytorch,N.A,torch,torch._sobol_engine_initialize_state_,https://github.com/pytorch/pytorch/issues/73181,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch

self = torch.full((2, 30,), 1, dtype=torch.int64, requires_grad=False)
dimension = 1250999896764
torch._sobol_engine_initialize_state_(self, dimension)",dimension,N.A,segfault
Pytorch,N.A,torch,torch._sobol_engine_ff_,https://github.com/pytorch/pytorch/issues/73180,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch

self = torch.full((2,), 1, dtype=torch.int64, requires_grad=False)
n = 1250999896764
sobolstate = torch.full((2, 30,), 1, dtype=torch.int64, requires_grad=False)
dimension = 1250999896764
num_generated = 0
torch._sobol_engine_ff_(self, n, sobolstate, dimension, num_generated)","dimension, n",N.A,segfault
Pytorch,N.A,torch.distributions.categorical,torch.distributions.categorical.Categorical,https://github.com/pytorch/pytorch/issues/71689,Zero integer argument,"A zero integer argument in Python refers to an integer value of zero (0) that is passed as an argument to a function, method, or operation. It represents a numerical value of zero that is used as input for a specific computation or functionality.",Integer,batch_sizes = 0,batch_sizes,N.A,N.A
Pytorch,N.A,torch,torch.bmm,https://github.com/pytorch/pytorch/issues/71678,Sparse input tensor,"A sparse tensor is a tensor in which the majority of the elements are zero or have negligible values. Sparse tensors are used to efficiently represent and manipulate data with a large number of zeros, saving memory and computational resources.",Tensor,"import torch
a = torch.rand(2, 3, 3).to_sparse().requires_grad_(True)
b = torch.rand(2, 3, 3)
c = torch.bmm(a, b)",a ,N.A,N.A
Pytorch,N.A,torch,torch.median,https://github.com/pytorch/pytorch/issues/71636,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
input = torch.randint(-2,2,[0], dtype=torch.int32)
print(torch.median(input))",input,N.A,N.A
Pytorch,N.A,torch,torch.cummin,https://github.com/pytorch/pytorch/issues/71477,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"input = torch.rand([], dtype=torch.float64)
dim = 100
torch.cummin(input, dim)",input,N.A,N.A
Pytorch,N.A,torch,torch.cummax,https://github.com/pytorch/pytorch/issues/71477,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
input = torch.rand([], dtype=torch.float64)
dim = 100
torch.cummax(input, dim)",input,N.A,N.A
Pytorch,N.A,torch,torch.sort,https://github.com/pytorch/pytorch/issues/71477,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
input = torch.rand([], dtype=torch.float64)
dim = 100
torch.sort(input, dim)",input,N.A,N.A
Pytorch,N.A,torch,torch.argsort,https://github.com/pytorch/pytorch/issues/71477,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
input = torch.rand([], dtype=torch.float64)
dim = 100
torch.argsort(input, dim)",input,N.A,N.A
Pytorch,N.A,torch,torch.diag,https://github.com/pytorch/pytorch/issues/71204,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"import torch
a = torch.tensor([[0, 1], [2, 3]])
for i in [0, 1, 2]:
assert(torch.equal(torch.diag(a, i), torch.diagonal(a, i)))
torch.diagonal(a, 3)
torch.diag(a, 3)",N.A,N.A,N.A
Pytorch,N.A,torch,torch.diagonal,https://github.com/pytorch/pytorch/issues/71204,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"import torch
a = torch.tensor([[0, 1], [2, 3]])
for i in [0, 1, 2]:
assert(torch.equal(torch.diag(a, i), torch.diagonal(a, i)))
torch.diagonal(a, 3)
torch.diag(a, 3)",N.A,N.A,N.A
Pytorch,N.A,torch,torch.combinations,https://github.com/pytorch/pytorch/issues/71082,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"import torch
input_tensor = torch.randint(-1,1,[3], dtype=torch.int64)
input = input_tensor.clone()
r = 100
print(torch.combinations(input, r=r))",r,N.A,N.A
Pytorch,N.A,torch,torch.nn.ConstantPad2d,https://github.com/pytorch/pytorch/issues/71078,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"import torch
padding = [-1, -2, 1, 1]
c1 = torch.nn.ReflectionPad2d(padding)
c2 = torch.nn.ReplicationPad2d(padding)
c3 = torch.nn.ConstantPad2d(padding, 0)
c4 = torch.nn.ZeroPad2d(padding)
input = torch.rand([1, 1, 3, 3], dtype=torch.float32)

print(c1(input))
print(c2(input))
c3(input)
# RuntimeError: The input size 3, plus negative padding -1 and -2 resulted in a negative output size, which is invalid. Check dimension 3 of your input.
c4(input)
# RuntimeError: The input size 3, plus negative padding -1 and -2 resulted in a negative output size, which is invalid. Check dimension 3 of your input.",input,N.A,N.A
Pytorch,N.A,torch,torch.nn.ZeroPad2d,https://github.com/pytorch/pytorch/issues/71078,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"import torch
padding = [-1, -2, 1, 1]
c1 = torch.nn.ReflectionPad2d(padding)
c2 = torch.nn.ReplicationPad2d(padding)
c3 = torch.nn.ConstantPad2d(padding, 0)
c4 = torch.nn.ZeroPad2d(padding)
input = torch.rand([1, 1, 3, 3], dtype=torch.float32)

print(c1(input))
print(c2(input))
c3(input)
# RuntimeError: The input size 3, plus negative padding -1 and -2 resulted in a negative output size, which is invalid. Check dimension 3 of your input.
c4(input)
# RuntimeError: The input size 3, plus negative padding -1 and -2 resulted in a negative output size, which is invalid. Check dimension 3 of your input.",input,N.A,N.A
Pytorch,N.A,torch,torch.scatter,https://github.com/pytorch/pytorch/issues/71059,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
input = torch.rand([])
dim = 0
index = torch.tensor([]) # or torch.tensor([0])
src = torch.rand([])
torch.scatter(input, dim, index, src)
# random value like tensor(6.7333e+22)",input,N.A,N.A
Pytorch,N.A,torch,torch.where,https://github.com/pytorch/pytorch/issues/71058,Float input tensor,"A float input tensor refers to a tensor in a deep learning framework (such as TensorFlow or PyTorch) that contains elements of the floating-point data type. In deep learning, floating-point numbers are commonly used to represent and perform computations on real-valued data.",Tensor,"import torch
condition= torch.randint(0,2,[2, 2], dtype=torch.bool)
x= torch.rand([2, 2], dtype=torch.float64)
y = 0.0
print( torch.where(condition, x, y) )
# tensor([[0.0000, 0.6290],
# [0.0000, 0.0000]], dtype=torch.float64)
print( x.where(condition, y) )
# TypeError: where(): argument 'other' (position 2) must be Tensor, not float",y,N.A,N.A
Pytorch,N.A,torch,torch.batch_norm_gather_stats_with_counts,https://github.com/pytorch/pytorch/issues/70901,Input tensor with half data type,"An input tensor with a half data type refers to a tensor that uses the float16 data type. The float16 data type, also known as half-precision floating-point format, represents a floating-point number with reduced precision compared to the standard float32 data type.",torch.half,"import torch
i = torch.rand([5,4,10,10], dtype=torch.float).cuda()
c = torch.rand((150,), dtype=torch.half).fill_(500).cuda()
m = torch.rand([150, 4], dtype=torch.float).cuda()
rm = torch.rand([4], dtype=torch.half).cuda()
v = torch.rand([150, 4], dtype=torch.float).cuda()
v += 0.0001
rv = torch.rand([4], dtype=torch.half).cuda()
rv += 0.0001
mea, inv = torch.batch_norm_gather_stats_with_counts(i, m, v, rm, rv, 1.2, 0.001, c)
print(mea)",count,N.A,overflow
Pytorch,N.A,torch,torch.as_strided,https://github.com/pytorch/pytorch/issues/70672,Negative input tensor,"A negative input tensor refers to a tensor that contains negative values. In other words, the elements of the tensor have a value less than zero.",Tensor,"import torch
a = torch.rand([3, 3])
b = torch.as_strided(a, [1, -1], [1, 1])
print(b.shape)
# torch.Size([1, -1])",N.A,N.A,N.A
,N.A,torch,tensor.expand,https://github.com/pytorch/pytorch/issues/70398,Negative integer list element,A negative integer list element in Python refers to an element within a list that has a negative integer value. It means that the element is a negative number represented by an integer data type.,List,"import torch
input = torch.rand([3])
shape = [-2, 3]
res = torch.broadcast_to(input,shape,)
print(res.shape)
# torch.Size([-2, 3])
print(torch.sum(res))
# tensor(0.)
torch.all(res)
# RuntimeError: Trying to create tensor with negative dimension -2: [-2, 3]",shape,N.A,N.A
Pytorch,N.A,torch,torch.broadcast_to,https://github.com/pytorch/pytorch/issues/70398,Negative integer list element,A negative integer list element in Python refers to an element within a list that has a negative integer value. It means that the element is a negative number represented by an integer data type.,List,"import torch
input = torch.rand([3])
shape = [-2, 3]
res = input.expand(shape)
print(res.shape)
print(torch.sum(res))
torch.all(res)",shape,N.A,N.A
Pytorch,N.A,torch,torch.empty_strided,https://github.com/pytorch/pytorch/issues/70397,Negative integer list element,A negative integer list element in Python refers to an element within a list that has a negative integer value. It means that the element is a negative number represented by an integer data type.,List,"import torch
size = [2, 3]
stride = [-1, 2]
res = torch.empty_strided(size,stride,)
print(torch.sum(res))
# tensor(nan)
print(res.shape)
# torch.Size([2, 3])
print(res)",stride,N.A,N.A
Pytorch,N.A,torch,torch.transpose,https://github.com/pytorch/pytorch/issues/69433,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
tensor = torch.rand(torch.Size([]))
res1 = torch.transpose(tensor, 0, 0)","dim0, dim1",N.A,N.A
Pytorch,N.A,torch,torch.hstack,https://github.com/pytorch/pytorch/issues/69408,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"import torch
tensor_0 = torch.rand(torch.Size([]))
tensor_1 = torch.rand(torch.Size([3]))
tensors = [tensor_0, tensor_1]
res1 = torch.hstack(tensors)
# succeed
res2 = torch.cat(tensors, dim=0)",dim=0,N.A,N.A
Pytorch,N.A,torch,torch.nn.functional.linear,https://github.com/pytorch/pytorch/issues/64978,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"import torch
a = torch.ones([1,1,10])
b = torch.ones([10]) # weight is 1-d
c = torch.nn.functional.linear(a, b)",b,N.A,N.A
Pytorch,N.A,torch,torch.equal,https://github.com/pytorch/pytorch/issues/64079,Sparse input tensor,"A sparse tensor is a tensor in which the majority of the elements are zero or have negligible values. Sparse tensors are used to efficiently represent and manipulate data with a large number of zeros, saving memory and computational resources.",Tensor,"if __name__ == ""__main__"":
x = torch.rand(4, 4).to_sparse()
assert torch.equal(x, x)",x,N.A,N.A
Pytorch,N.A,torch.jit,torch.jit.trace,https://github.com/pytorch/pytorch/issues/54638,Sparse input tensor,"A sparse tensor is a tensor in which the majority of the elements are zero or have negligible values. Sparse tensors are used to efficiently represent and manipulate data with a large number of zeros, saving memory and computational resources.",Tensor,,input,N.A,N.A
Pytorch,N.A,torch.nn,torch.nn.MaxPool1d,https://github.com/pytorch/pytorch/issues/54499,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch

m=torch.nn.MaxPool1d(545646544,stride=2)
input=input=torch.randn(20,16,50)
m(input)",kernel_size,N.A,integer overflow
Pytorch,N.A,torch,torch.matmul,https://github.com/pytorch/pytorch/issues/53407,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,torch.matmul(input),input,N.A,N.A
Pytorch,N.A,torch,torch.empty_strided,https://github.com/pytorch/pytorch/issues/53391,Negative input tensor,"A negative integer tuple element refers to an element within a tuple that holds a negative integer value. In Python, a tuple is an ordered collection of elements, enclosed in parentheses ( ), and separated by commas. Each element within the tuple can have any valid data type, including integers.",Tensor,torch.empty_strided(),stride,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.grid_sample,https://github.com/pytorch/pytorch/issues/51911,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"import torch
torch.nn.functional.grid_sample(input=torch.ones([1,1,1,5]), grid=torch.tensor([[[[ 2.9839e+38, -3.2406e+38]]]]))",grid,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.binary_cross_entropy_with_logits,https://github.com/pytorch/pytorch/issues/51906,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
torch.nn.functional.binary_cross_entropy_with_logits(input=torch.tensor([-2.3135e+307, 6.6756e+307]), target=torch.ones((2)))",input,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.binary_cross_entropy_with_logits,https://github.com/pytorch/pytorch/issues/51906,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
torch.nn.functional.binary_cross_entropy_with_logits(input=torch.tensor([]), target=torch.tensor([]))",input,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.binary_cross_entropy,https://github.com/pytorch/pytorch/issues/51803,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"import torch
torch.nn.functional.binary_cross_entropy(input=torch.tensor([]), target=torch.tensor([]))",input,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.ctc_loss,https://github.com/pytorch/pytorch/issues/51732,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"import torch 
torch.nn.functional.ctc_loss(log_probs=torch.ones((1,2,1)), targets=torch.ones((2,1)), input_lengths=torch.tensor([-5570080269274466818, -1]), target_lengths=torch.tensor((1,1)))",input_lengths,N.A,segfault
Pytorch,N.A,torch.nn,torch.nn.ReplicationPad3d,https://github.com/pytorch/pytorch/issues/51134,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch
layer = torch.nn.ReplicationPad3d(padding=498444555)
model_input = torch.ones([1, 1, 1, 1, 1])
layer(model_input)",padding,N.A,segfault
Pytorch,N.A,torch.nn,torch.nn.ReplicationPad2d,https://github.com/pytorch/pytorch/issues/49520,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch
layer = torch.nn.ReplicationPad2d(padding=1012756988)
model_input = torch.ones([2,2,2,2])
layer(model_input)",padding,N.A,segfault
Pytorch,N.A,torch,torch.gather,https://github.com/pytorch/pytorch/issues/47610,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"import torch
torch.manual_seed(0)
input = torch.rand(4, 2)
index = torch.randint(2, size=(4,)).unsqueeze(0) # intended to be unsqueeze(1)
dim = 1
output = torch.gather(input, dim, index)
print(""input = "", input)
print(""index = "", index)
print(""output = "", output)","index
input",N.A,N.A
Pytorch,N.A,torch,torch.mode,https://github.com/pytorch/pytorch/issues/46225,NaN input tensor,"NaN stands for ""Not a Number"" and is a special value used to represent undefined or unrepresentable results in numerical computations. In the context of an input tensor, a NaN input tensor refers to a tensor that contains one or more NaN values. Also, when arguments of type tensor are assign with NaN values.",Tensor,"def test(device):
x = torch.rand(1000).mul(5).long().to(device)
s = torch.bincount(x, minlength=5).argsort(descending=True)

mode = x.mode().values
print(f'w/o nans, got {mode}, expected {s[0]}')

y = x.clone().float()
y[y == mode] = np.nan
mode = y.mode().values.long()
print(f'w nans, got {mode}, expected {s[1]}')",input,N.A,N.A
Pytorch,N.A,torch,torch.svd,https://github.com/pytorch/pytorch/issues/43567,NaN input tensor,"NaN stands for ""Not a Number"" and is a special value used to represent undefined or unrepresentable results in numerical computations. In the context of an input tensor, a NaN input tensor refers to a tensor that contains one or more NaN values. Also, when arguments of type tensor are assign with NaN values.",Tensor,"torch.svd(torch.tensor([[float('nan'), 1.0]]).cuda())",input,N.A,N.A
Pytorch,N.A,torch,torch.multinomial,https://github.com/pytorch/pytorch/issues/43115,Large integer argument,"A large integer argument refers to an argument passed to a function or operation that represents a large integer value. It means that the argument is an integer value that exceeds the typical range of integer values supported by the underlying programming language or system.

The specific definition of a ""large"" integer may vary depending on the context and the limitations of the programming language or system being used. For example, in Python, integers have arbitrary precision, allowing you to work with integers of any size. However, other programming languages may have predefined limits on the range of integer values they can handle.

In the context of function arguments, a large integer argument can be used to represent various concepts or quantities. It may be used to specify an index, a count, a value, or any other numerical parameter required by the function or operation.",Integer,"import torch
for ncat in (2**8, 2**22, 2**24):
probs=torch.empty(ncat) 
half = ncat//2 
probs[half:]=1
probs[:half-1]=2
out=torch.multinomial(probs, num_samples=10**5, replacement=True) 
print(""number of categories {:10}, number of samples in upper half {:8} "".format(ncat, (out>=half).sum().item())) #would expect 1/3 (~33333) of generated values to be >=half, true for ncat 2**8, 2**22, 0 for ncat 2**24",num_samples,N.A,N.A
Pytorch,N.A,torch,torch.cartesian_prod,https://github.com/pytorch/pytorch/issues/37556,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"a = [[1,1], [2,3], [3,5]]
b = [[4, 5], [3,6]]
print(list(itertools.product(a, b)))
tensor_a = torch.tensor(a)
tensor_b = torch.tensor(b)
#torch.cartesian_prod(tensor_a, tensor_b)
torch.cartesian_prod(tensor_a, tensor_b)",tensors,N.A,N.A
Pytorch,N.A,torch,torch.std,https://github.com/pytorch/pytorch/issues/29372,Scalar input tensor,"A scalar input tensor refers to a tensor with a rank of 0, meaning it has zero dimensions. In other words, a scalar input tensor represents a single value without any additional structure or dimensions.",Tensor,"import numpy as np
np.std(4) # returns 0
import torch
torch.std(torch.tensor(4.)) # returns NaN",input,N.A,N.A
Pytorch,N.A,torch,torch.cat,https://github.com/pytorch/pytorch/issues/25648,Negative integer argument,"A negative integer argument in Python refers to an integer value that is less than zero. It is a numeric value that represents a negative quantity or position in a numerical sequence. In Python, negative integers are denoted by placing a minus sign (-) before the numerical value. For example, -1, -2, -3, and so on.",Integer,"import torch 
from torch import nn

device = torch.device('cuda') # crashes with cuda, works with cpu

class Model(nn.Module):

def __init__(self):
super().__init__()
self.linear1 = nn.Linear(2, 16)
self.linear2 = nn.Linear(2, 16)

def forward(self, x, y):
x = self.linear1(x)
y = self.linear2(y)
return torch.cat([x, y], dim=-1) # if we replace -1 with 1 works fine with either GPU or CPU

model = Model().to(device)

data = [torch.randn(1, 2).to(device), torch.randn(1, 2).to(device)] 

traced = torch.jit.trace(model, data)

print(traced)",dim,N.A,N.A
Pytorch,N.A,torch.nn.functional,torch.nn.functional.grid_sample,https://github.com/pytorch/pytorch/issues/24823,NaN input list element,"NaN stands for ""Not a Number"" and is a special value used to represent an undefined or unrepresentable numerical result in Python. In the context of a list, a NaN input list element refers to an element that has the NaN value, indicating that it is not a valid numerical value.",List,"import torch

image = torch.rand(1, 1, 3, 3, device='cpu')
grid = torch.rand(1, 3, 3, 2, device='cpu')
grid[:,1,1,0] = float('nan')
torch.nn.functional.grid_sample(image, grid, padding_mode='reflection')",padding_mode,N.A,segfault
Pytorch,N.A,torch,torch.einsum,https://github.com/pytorch/pytorch/issues/23061,Tensor with specific dtype,A tensor with random data type,Tensor,"import os
os.environ['CUDA_VISIBLE_DEVICES']='0'
import torch
from time import time

a = torch.empty(24,32,40,48, dtype=torch.float32).to('cuda')
b = torch.empty(64,32,40,48, dtype=torch.float32).to('cuda')
c = torch.empty(40,80,24, dtype=torch.float32).to('cuda')
d = torch.empty(40,24,16, dtype=torch.float32).to('cuda')

st = time()
for _ in range(1000):
c.matmul(d)
print(time()-st)

st = time()
for _ in range(1000):
torch.einsum('ibnd,jbnd->ijbn', a, b)
print(time()-st)",operands,N.A,N.A
Pytorch,N.A,torch,torch.matmul,https://github.com/pytorch/pytorch/issues/22788,Tensor with specific dtype,A tensor with random data type,Tensor,"import os
os.environ['CUDA_VISIBLE_DEVICES']='0'
import torch
from time import time


a = torch.empty(24,32,40,48, dtype=torch.float16).to('cuda')
b = torch.empty(64,32,40,48, dtype=torch.float16).to('cuda')
c = torch.empty(40,80,24, dtype=torch.float16).to('cuda')
d = torch.empty(40,24,16, dtype=torch.float16).to('cuda')

st = time()
for _ in range(1000):
torch.matmul(c,d)
print(time()-st)

st = time()
for _ in range(1000):
torch.einsum('ibnd,jbnd->ijbn', a, b)
print(time()-st)",operands,,
Pytorch,N.A,torch,torch.mv,https://github.com/pytorch/pytorch/issues/17897,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"x = torch.ones(35783, 65133, device='cuda')
y = torch.randn(65133, device='cuda')
z = torch.mv(x, y)
torch.cuda.synchronize() # report asynchronous error","input
vec",N.A,N.A
